"botname","comname","variety","growtype","method","wks_blf","sowdepth","space","life","light","comt1","comt2"
"Sorbaria sorbifolia","Sorbaria",,"shrub","<2 wks @ 68 F in lite, rapid germ.",-12,"surf",120,"Perennial","fsun","6ft x 10ft, aka Spirea sorbifolia, invasive","may not be suitable for small garden"
"Oxydendrum arboreum","Sourwood","white","tree",">2 wks @ 68 F in lite on peat surface under mist",-11,"surf",240,"Perennial","fsun","25 to 30', needs acid soil, 5.5 to 6.5 pH","not for polluted or urban areas"
"Ipomoea lobata","Spanish flag","red/yellow","vine","<2 wks @ 68 F, rapid germ.",-4,"thin",10,"Annual","fsun",,
"Veronica 'lavender charm'","Speedwell","blue violet","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun","loved by bumblebees","grow cool, 55"
"Veronica gentianoides","Speedwell","blue","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",6,"Perennial","fsun","rock garden, needs lite for germ.",
"Veronica incana","Speedwell","pink","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun",,"grow cool, 55"
"Veronica kolchyana","Speedwell",,"orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",6,"Perennial","fsun","rock garden, needs lite for germ.",
"Veronica longifolia","Speedwell",,"orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun",,"grow cool, 55"
"Veronica satureioides","Speedwell","deep blue","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",6,"Perennial","fsun","rock garden, needs lite for germ.","10 cm"
"Veronica schmidtiana","Speedwell","blue","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",12,"Perennial","fsun",,"grow cool, 55"
"Veronica spicata","Spiked speedwell","blue","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun","loved by bumblebees","grow cool, 55"
"Cucurbita moschata","Squash","waltham butternut","vege","sow outdoors, <2 wks @ 72 F, rapid germ.",1,"covr",48,"Annual","fsun","produces 8 fruit per plant","grow cool"
"Ipomopsis rubra","Standing cypress","red","orn","<2 wks @ 68 F, rapid germ., oscillate temps.",-6,"thin",10,"Annual","fsun","hummingbird plant ","Does not transplant well, moist soil"
"Ornithogalum caudatum","Star of bethlehem","pot plant - white","house","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"covr",12,"Annual","fsha","window plant only, lily family","T&M: 30-180d@55-60 F"
"Allium christophii","Star of Persia","purple","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-17,"thin",10,"Perennial","fsun","Delay transplanting for 2 months","one per pot - syn. A. albopilosum"
"Silphium dentata","Starry rosinweed","yellow","orn","12 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun",,
"Limonium tatarica","Statice","German","orn","<2 wks @ 68 F, rapid germ.",-7,"covr",15,"Perennial","fsun","do not divide clumps, no transplant","grow cool, 55"
"Salvia glutinosa","Sticky sage","light yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"thin",8,"Perennial","fsha",,
"Stokesia laevis","Stokes-aster","blue","orn",">2 wks @ 68 F, slow germ.",-10,"thin",18,"Perennial","fsun",,"will not endure poor drainage in clay soil"
"Erodium manescavi","Storksbill","wine-red","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",6,"Perennial","psha",,
"Digitalis lutea","Straw foxglove","light yellow","orn",">2 wks @ 68 F in lite, 21-40d",2,"surf",12,"Perennial","fsun",,"grow cool, 55-60"
"Helichrysum bracteatum","Strawflower","mix","orn","<2 wks @ 75 F in lite, rapid germ.",-6,"surf",15,"Annual","fsun","grow cool",
"Satureja hortensis","Summer savory","azure","herb","<2 wks @ 68 F in lite, rapid germ.",0,"surf",15,"Annual","fsun",,"grow cool"
"Helianthus annuus","Sunflower","tapestry bright yellow","orn","<2 wks @ 68 F, rapid germ.",0,"covr",18,"Annual","fsun","grow cool",
"Penstemon clutei","Sunset Crater beardtongue","pink","orn","Sow barely covered 8 wks   @ 40 F (4 C), move to 60 F for germ. under light",-18,"thin",8,"Perennial","fsun","basal leaves w/pink flowers on 4ft high stalk","all penstemons prefer dry soil"
"Agastache rupestris","Sunset hyssop","hot orange","orn","<2 wks @ 68 F, rapid germ.",-12,"thin",10,"Perennial","fsun",,
"Asclepias incarnata","Swamp milkweed","red/pink","orn","4 wks @ 39 F in moist sand, move to 68 F for germ.",-10,"thin",10,"Perennial","fsun","needs well drained moist soil, tolerates drought","examine every week for aphids, grow cool"
"Asclepias incarnata alba","Swamp milkweed","white","orn","4 wks @ 39 F in moist sand, move to 68 F for germ.",-10,"thin",10,"Perennial","fsun","needs well drained moist soil, tolerates drought","examine every week for aphids, grow cool"
"Asclepias physocarpa","Swan plant","cream to grn/white","orn","<2 wks @ 68 F in lite, rapid germ.",-10,"surf",10,"Annual","fsun","min. temp. = 45 F, short lived plant in zone 10, 2-3 y","plagued by whitefly when under glass"
"Brachycome iberidifolia","Swan river daisy","pot plant","house","<2 wks @ 68 F, rapid germ.",-3,"thin",6,"Herbaceous perennial","fsun",,
"Ocimum basilicum","Sweet basil","white","herb","<2 wks @ 68 F, rapid germ.",-4,"thin",12,"Annual","fsun","bee plant - do not deadhead, pinch","attracts beneficial insects"
"Myrrhis odorata","Sweet cicely","white","orn","sow outdoors in the fall for spring germ.",25,"surf",18,"Perennial","fsha","germination begins 80 to 100 days after stratification @ 39 F","germ. begins 60 to 80 days after variable strat. from 30 to 40 F"
"Eupatorium purpureum","Sweet Joe-Pye weed","pinkish white","orn","<2 wks @ 68 F in lite, rapid germ.",-3,"surf",12,"Perennial","fsun",,
"Lathyrus splendens","Sweet pea","pink","orn","nick and soak, sow outdoors <2 wks @ 68 F in the dark, rapid germ.",-2,"covr",10,"Annual","fsun","to 6 ft height - staking required","grow cool, 50-55"
"Dianthus barbatus","Sweet william","double mix","orn","<2 wks @ 68 F, rapid germ.",-7,"surf",8,"Perennial","psun","keep soil moist, grow cool, 55-58","requires elevated alkaline levels in soil"
"Beta vulgaris cicia","Swiss chard","lucullus","vege","sow outdoors, <2 wks @ 72 F, rapid germ.",-2,"covr",15,"Annual","fsun","do not fail to thin out to 12"", grow cool",
"Panicum virgatum","Switch grass",,"grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"covr","clump","Perennial","fsun","moist, rich soil","zone 5"
"Platanus occidentalis","Sycamore",,"tree","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"covr",360,"Perennial","fsun","large leaves, attractive bark","messy tree"
"Astilboides tabularis","Syn. Rodgersia tabularis","white","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 , recycle",-6,"surf",60,"Perennial","fsun","3 ft. dia leaves",
"Carex dipsacaea (dipsacea)","Tahoata",,"grass","4 wks @ 68 F, 4 wks @ 39 , move to 53  for germ.",-12,"covr","clump","Perennial","psha","Constantly moist, fast draining, rocky soil","zone 7"
"Potentilla arguta","Tall cinquefoil","white/yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",6,"Perennial","fsun","Demands full sun and sharp drainage","Don't overwater seedlings"
"Solidago altissima","Tall goldenrod","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun","seedling leaves must not touch the soil","sow heavily as only 5% of seeds develop"
"Vernonia altissima","Tall ironweed","purple","orn","12 wks @ 39 F, move to 68 F slowly for germ.",-12,"thin",10,"Perennial","fsun","sow heavily, mostly empty seeds","prefers moist soil"
"Verbena bonariensis","Tall verbena","purple","orn","4 wks @ 39 F, move to 68 F in darkness  for germ. or sow outdoors in the fall",-8,"covr",15,"Annual","fsun",,
"Salvia przewalskyi","Tan shen",,"orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"thin",10,"Perennial","psha",,
"Tanacetum vulgare","Tansy","yellow","herb","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Perennial","fsun","use dried as control for ants, etc.","invasive - plant in lawn bed"
"Madia elegans","Tarweed","yellow","orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","fsun",,
"Echinacea tennesseensis","Tennessee coneflower",,"orn","9 wks @ 39 , move to 50  for germ.",-13,"covr",10,"Perennial","fsun","grow cool, 50",
"Pavonia lasiopetala","Texas swampmallow","pink","orn","Extract from outer seed coat, puncture inner seed coat, germ. in 3d @ 70 F",-5,"thin",24,"Annual","fsun",,
"Datura metel","Thornaple"," white 3 ""","orn","2w to 12w @ 80 F, germ erratic",-8,"covr",18,"Annual","fsun",,
"Datura metel","Thornapple","double purple","orn","2w to 12w @ 80 F, germ erratic",-8,"covr",18,"Annual","fsun",,
"Datura metel","Thornapple","double yellow","orn","2w to 12w @ 80 F, germ erratic",-8,"covr",18,"Annual","fsun",,
"Datura metel","Thornapple","single yellow","orn","2w to 12w @ 80 F, germ erratic",-8,"covr",18,"Annual","fsun",,
"Datura meteloides","Thornapple","bluish/purple edges","orn","2w to 12w @ 80 F, germ erratic",-8,"covr",18,"Annual","fsun",,
"Datura wrightii","Thornapple","white 7""","orn","sow @ 75 F for germ. in 10 days to 2 months.",-8,"covr",18,"Annual","fsun",,
"Bupleurum rotundifolium","Thorow-wax","purple","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",6,"Perennial","fsun","rock garden",
"Armeria maritima","Thrift seapink","pink","orn","<3 wks @ 68 F, rapid germ.",-7,"surf",10,"Perennial","fsun","grow cool, 50-55, PM shade","light mulch over winter"
"Thymus vulgaris","Thyme","Olde english","herb","<2 wks @ 68 F, rapid germ.",-1,"covr",10,"Herbaceous perennial","psun","indoors during winter","grow cool, 55-58"
"Meconopsis betonicifolia","Tibetan blue poppy","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin",6,"Herbaceous perennial","psun","well-drained moist soil","must have rain every day"
"Layia elegans","Tidy tips","Yellow","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",12,"Annual","fsun",,
"Tricyrtis hirta","Toad lily","Miyazaki","orn","4 wks @ 68 F, 4 wks @ 39 , move to 53  for germ.",-15,"thin",8,"Perennial","fsha",,
"Linaria purpurea 'Canon J. Went'","Toadflax","violet/pink","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-4,"covr",12,"Perennial","fsun",,
"Lycopersicon esculentum","Tomato, F1","Ultra Sweet","vege","<2 wks @ 73 F, rapid germ.",-7,"covr",36,"Annual","fsun","High cage",
"Verbena hortensis","Trailing verbena","purple","orn",">2 wks @ 68 F in dark, slow germ.",-7,"thin",2,"Annual","fsun","drought tolerant, good hanging basket plant",
"Gerbera jamesonii","Transvaal daisy","Pandora apricot","orn","<2 wks @ 75 F in lite, rapid germ.",-10,"surf",10,"Annual","fsun","keep moist, keep crown above soil","sow with pointed end of seed above surface"
"Salvia transylvanica","Transylvanian sage","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"thin",10,"Perennial","psun","cover thin","to 3ft dia."
"Lupinus arboreus","Tree lupin","evergreen, pot plant","shrb","nick coat, <2 wks @ 68 F, rapid germ. ",25,"covr",24,"Perennial","psha","to zone 8, sandy soil","pot plant, prefers cool weather"
"Lavatera arborea","Tree mallow","pink","orn","3 wks @ 39 F, germ. @ 39 F",-15,"covr",24,"Biennial","psha","hardy to zone 6 or 7, 6-10 ft high","Never transplant Lavateras"
"Nicotiana glauca","Tree tobacco","yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",15,"Annual","fsun",,
"Cyphomandra casana","Tree tomato",,"orn","<2 wks @ 68 F, rapid germ.",-6,"thin",15,"Annual","fsun","greenhouse plant","not less than 50 F"
"Campsis radicans","Trumpet vine","scarlet","vine","8 wks @ 39 F, move to 68  for germ.",-10,"thin",15,"Annual","fsun","grows 40 to 50 ft",
"Campsis x tagliabuana ","Trumpet vine","'madame galen' orange","vine","8 wks @ 39 F, move to 68  for germ.",-10,"thin",15,"Annual","fsun","grows to 90 ft, orange/pink, z4",
"Verbena rigida","Tuberous vervain","purple","orn","4 wks @ 39 F, move to 68 F for germ.",-12,"thin",8,"Perennial","fsun","slow germ, irregular",
"Lilium Martagon","Turk's cap lily","dull pink","orn","sow @ 39 F, erratic, months",-18,"thin",12,"Perennial","fsun","must be kept moist at all times",
"Allium karataviense","Turkestan allium",,"orn","sow outdoors in the fall for spring germ. ",25,"thin",10,"Perennial","fsun","short lived seed, sow at once",
"Rheum palmatum","Turkey rhubarb","red","orn","<2wks @ 68 F, rapid germ",-6,"thin",24,"Perennial","fsun","humus-rich, moisture retentive","hardy to 5 F, solitaire"
"Brassica rapa","Turnip","Purple top, white globe","vege","sow outdoors, <2 wks @ 68 F, rapid germ.",12,"covr",3,"Annual","fsun","sow seed July 15th",
"Chelone obliqua","Turtle-head",,"orn","2-4 wks @ 68 F in lite, indefinite wks @ 39 F",-12,"surf",8,"Herbaceous perennial","fsun","flowers in 2 to 3 years, requires support","bog plant, needs moist soil to be in full sun"
"Campanula carpatica ","Tussock bellflower","checks","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha","to 10"" high",
"Asarina scandens","Twining snapdragon","purple","vine","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Annual","fsun","vine - flowers aug/sept",
"Melia azedarach","Umbrella tree","China-berry","tree","<2 wks @ 68 F, rapid germ.",0,"covr",,"Perennial","fsun","Tree to 45 ft, zone 9",
"Proboscidea louisianica","Unicorn plant","pink/yellow throat","orn ","Remove black seed covering first,  10 days @ 70 F",-6,"covr",48,"Annual-Perennial","fsun","3hx4w",
"Eupatorium sessilifolium","Upland boneset","white","orn","<2 wks @ 68 F, rapid germ.",-5,"surf",12,"Perennial","fsun",,"invasive reseeder"
"Centranthus ruber","Valerian","Red","orn","<2 wks @ 63 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun","root has special properties","dry soil, esp. in winter"
"Verbascum phoeniceum","Verbascum","Purple mullein","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"b/p","psun","do not fertilize or will grow too tall","grow cool, 50"
"Viola cornuta","Viola","Princess","orn","<2 wks @ 68 F in dark, rapid germ.",-9,"covr",6,"Perennial","fsun",,"grow cool, 50-55"
"Echium vulgare","Viper's bugloss","pink/blue","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",6,"Annual","fsun",,
"Brassica oleracea v. longata","Walking stick kale",,"orn","<2 wks @ 55 F, rapid germ.",-5,"covr",36,"Annual","fsun","Strong stake, provide crater for stalk to sink into.","thus, creating handle for cane"
"Erigeron karvinskianus","Wall daisy","white","orn",">2 wks @ 68 F in lite, slow germ.",-5,"thin",6,"Annual","fsun","Z 7-9",
"Chionochloa pallida","Wallaby grass",,"grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"covr","clump","Perennial","fsun","poor, acid soil, with low rainfall, flowers in the spring","syn. Danthonia chionochloa"
"Verbascum virgatum","Wand mullein","yellow to white","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Biennial","psun","zone 7",
"Citrullus lanatus","Watermelon","Yellow doll","vege","sow outdoors, <2 wks @ 71 F, rapid germ.",2,"covr",48,"Annual","fsun","best variety","grow cool"
"Eragrostis curvula","Weeping lovegrass",,"grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F in light",-8,"surf","clump","Perennial","fsun","sandy, rich soil, needs staking when in flower","zone 5"
"Lantana urticoides","West Indian Shrubverbena","yellow/orange","orn","soak seed 48 hrs, replace with warm water every 8 hrs, sow @ 70 F for germ in 4-6 wks, keep warm",-8,"thin",15,"Annual","fsun",,
"Penstemon whippleanus","Whipple's penstemon","Chocolate penstemon","orn","Surface sow 8 wks @ 40 F (4 C), move to 70 F for germ. under light",-18,"surf",8,"Perennial","psha",,"all penstemons prefer dry soil"
"Verbascum lychnitis","White mullein","white","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"hb","psun",,
"Verbascum chaixii alba","White nettle leaved mullein","white","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Perennial","psun",,
"Prenanthes alba","White rattlesnakeroot",,"orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","fsun",,
"Eupatorium rugosum","White snakeroot","white","orn","<2 wks @ 68 F, rapid germ.",-5,"surf",12,"Perennial","fsun","shade plant","Ageratina altissima v. altissima    (true name)"
"Chelone glabra","White turtlehead",,"orn","2-4 wks @ 68 F in lite, indefinite wks @ 39 F",-12,"surf",8,"Herbaceous perennial","fsun","flowers in 2 to 3 years, requires support","bog plant, needs moist soil to be in full sun"
"Baptisia leucantha","White wild indigo","white","orn","soak seed, <2 wks @ 68 F, rapid germ.",-8,"thin",18,"Perennial","fsun","flowers well third year","very sensitive to damping off & transplanting"
"Aster divaricatus","White wood aster","white","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 , recycle",-9,"surf",10,"Perennial","psha",,"grow cool"
"Morina longifolia","Whorl flower",,"orn","<2 wks @ 68 F, rapid germ.",-6,"covr",15,"Perennial","fsun","sow indiv. pots only",
"Salvia verticillata","Whorled clary","violet","orn",">2 wks @ 68 F, slow germ.",-6,"thin",6,"Perennial","fsun",,
"Pycnanthemum pilosum","Whorled mountainmint","lavender","orn",">2wks @ 68 F, slow germ.",-7,"thin",8,"Perennial","fsun",,
"Clinopodium vulgare","Wild basil","rose-purple","herb","<2 wks @ 72 F, rapid germ.",-4,"thin",12,"Perennial","fsun",,
"Monarda fistulosa","Wild bergamot","lavender","orn","2 wks @ 39 , move to 60 F",-9,"surf",12,"Perennial","psha","2.5 ft high","prefer moist soils"
"Solanum mauritianum","Wild tobacco",,"orn","<2 wks @ 68 F, rapid germ.",-5,"surf",24,"Annual","fsun",,
"Ilex verticillata","Winterberry",,"shrub","wash seed (3xdx14), Sow outdoors in December for spring germ. ",25,"thin",72,"Perennial","fsun",,"requires moist acid soil"
"Acokanthera oblongifolia","Wintersweet","white","vine","soak seed, <2 wks @ 68 F, rapid germ.",-6,"covr",12,"Annual","fsha","very poisonous, Z10 vine to 18 ft.","requires string or wire to climb"
"Isatis tinctoria","Woad","yellow","orn","sow @ 39 F, germ in 7-14d in dark",-7,"thin",8,"Biennial","fsun","well drained, fertile soil","hardy to 5 F"
"Teucrium scorodonia","Wood sage","yellow","shrub","<2 wks @ 72 F, rapid germ.",-5,"thin",20,"Perennial","fsun",,
"Hieracium lanatum","Woolly hawkweed",,"orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Lavandula lanata","Woolly lavender","lilac","orn","6 wks @ 39 F, move to 65 F for 1-3 mths germ.",-8,"thin",12,"Perennial","fsun","zone 6-9, requires winter mulch","chill seed 1 year"
"Eriophyllum lanatum","Woolly sunflower","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","rock garden spreader",
"Agastache rugosa","Wrinkled giant hyssop",,"orn",">2 wks @ 68 F, slow germ",-12,"thin",10,"Perennial","fsun",,
"Achillea filipendulina","Yarrow","white","orn","<2 wks @ 68 F in lite, rapid germ.",-3,"surf",15,"Perennial","fsun","rapid spreader, grow cool, 50","plant only to informal areas"
"Lamiastrum galeobdolon","Yellow archangel","yellow","orn","sow outdoors, 2-4 wks @ 68 F, 4-6 mths @ 21 F, move to 53 F for germ.",25,"thin",10,"Perennial","fsun","sow out in fall","tolerates dry shade"
"Corydalis lutea","Yellow bleeding heart","yellow","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",25,"thin",12,"Perennial","fsha","short lived seed",
"Digitalis grandiflora","Yellow foxglove","yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-4,"surf",12,"Perennial","fsun",,
"Agastache nepetoides","Yellow giant hyssop","yellow","orn",">2 wks @ 68 F, slow germ",-12,"thin",10,"Perennial","fsun",,
"Allium moly","Yellow onion","yellow","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-18,"covr",6,"Perennial","fsun","grow cool, 55-60","short lived seed"
"Buphthalmum salicifolium","Yellow ox-eye","yellow","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",6,"Perennial","fsun",,
"Zephyranthes texana","Yellow rain lily",,"orn","<2 wks @ 72 F, rapid germ.",-5,"thin",6,"Perennial","fsun","12"" tall, flowers in fall after rain",
"Cortusa matthioli","Zarzyczka","rosy-magenta","orn",">2 wks @ 68 F, slow germ.",-8,"surf",6,"Perennial","fsha","rock garden","primrose family"
"Zinnia angustifolia","Zinnia","Star orange","orn","<2 wks @ 72 F, rapid germ.",-7,"thin","clump","Annual","fsun","grow cool","favorite continuous bloomer"
"Zinnia elegans","Zinnia","Giant red","orn","<2 wks @ 72 F, rapid germ.",-5,"thin",20,"Annual","fsun","grow cool, pinch after 4 prs true leaves","very sensitive to mildew"
"Cucurbita maxima","Zucchini","spineless beauty hyb.","vege","<2 wks @ 72 F, rapid germ.",1,"covr",48,"Annual","fsun",,"grow cool"
